pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.4,169.56,33609.39,2.17,216.44,366.85,20.0,72.33,2.96,1
6.89,94.52,40033.46,6.63,128.71,243.35,26.11,81.96,1.37,0
7.52,156.74,46671.27,5.01,374.38,491.85,15.62,43.85,1.64,0
8.22,104.42,1496.82,7.83,127.31,461.71,5.76,23.91,2.53,1
6.81,257.81,8112.29,8.78,294.46,618.15,10.1,93.69,1.62,0
6.81,288.49,44365.48,0.13,223.96,625.05,20.55,103.59,4.85,0
8.26,95.91,23196.67,11.42,221.69,774.99,19.17,38.27,4.79,0
7.61,290.13,28447.24,10.7,303.87,558.9,16.87,54.78,2.34,1
6.62,194.97,33319.85,5.49,120.13,194.34,21.12,64.84,3.56,0
7.43,145.9,34113.8,0.79,278.11,872.46,19.85,68.67,3.14,1
6.63,96.91,46621.15,11.32,331.61,378.79,26.68,82.54,4.26,1
6.63,190.14,49849.0,14.33,348.46,974.17,18.41,14.58,3.51,1
7.19,254.79,36147.79,3.6,151.16,206.07,23.8,89.36,1.0,0
5.47,235.56,14717.45,4.85,369.23,962.43,8.96,16.82,4.05,0
5.62,91.05,44047.74,2.76,296.84,181.91,20.99,61.51,3.99,0
6.55,96.04,2936.44,8.65,364.56,307.93,27.26,101.04,3.04,0
6.19,168.63,11938.5,2.32,245.58,141.92,12.8,59.63,4.61,1
7.25,144.96,44920.59,5.34,262.61,734.6,23.81,26.4,4.63,1
6.27,131.12,13181.48,10.46,375.71,865.27,22.29,118.35,3.1,1
5.87,141.82,11422.23,8.4,369.97,490.66,3.67,107.82,3.43,0
8.17,256.77,7337.2,5.8,234.45,935.67,18.28,94.84,4.99,0
6.82,284.43,43026.03,6.3,182.32,631.27,5.65,55.27,2.2,0
7.05,169.12,25252.88,8.43,217.95,667.01,29.08,30.22,2.3,1
5.86,279.34,33907.21,0.09,216.33,860.88,24.72,113.56,1.73,1
6.56,150.73,12333.79,1.18,186.06,367.12,5.07,68.56,4.58,0
7.09,184.82,38023.0,13.22,180.57,418.84,5.41,103.76,3.98,1
6.08,129.73,38120.27,1.17,358.32,915.36,18.65,47.63,1.42,1
7.3,220.9,15973.6,10.6,120.96,910.87,11.66,46.88,4.93,0
6.52,295.38,20828.79,13.8,303.28,978.83,2.98,118.41,3.92,0
6.77,212.77,10879.67,4.06,151.85,911.65,17.17,67.4,4.4,1
6.52,158.72,48839.77,5.56,203.35,214.63,12.86,25.48,1.19,0
8.48,222.52,32457.33,8.53,118.46,841.35,4.83,34.16,3.02,1
